replication_lag_mb,transactions_per_sec,cpu_percent,latency_ms,trans_rolled_back,deadlocks,hour_of_day,memory_usage_pct,connections_active,wal_buffers_full,system,mode
125.5,888.95,73.9,80.85,77.54,8,5,94.86,115,27.69,postgresql,CONSISTENCY
21.21,447.25,59.87,62.21,4.63,2,8,41.14,31,47.94,postgresql,CONSISTENCY
47.82,1277.38,78.76,9.69,36.26,3,23,75.32,140,13.0,postgresql,CONSISTENCY
5.72,706.9,50.54,65.65,49.07,0,8,63.51,70,36.29,postgresql,CONSISTENCY
135.24,675.79,64.12,61.98,59.97,5,23,94.75,128,18.84,postgresql,CONSISTENCY
120.07,634.35,70.37,85.54,79.73,9,16,88.83,148,49.99,postgresql,CONSISTENCY
2.41,163.56,17.56,114.76,70.26,0,2,26.29,13,10.36,postgresql,ECONOMIC
16.09,356.78,50.15,132.11,44.88,2,1,47.69,20,27.6,postgresql,CONSISTENCY
18.99,314.39,52.65,97.31,48.65,2,16,62.58,79,49.02,postgresql,CONSISTENCY
15.91,752.08,40.45,71.61,63.72,1,14,55.55,70,34.88,postgresql,CONSISTENCY
78.8,1258.24,84.18,23.69,6.07,6,16,74.18,142,12.01,postgresql,CONSISTENCY
30.8,1400.3,88.95,92.28,77.85,2,22,87.94,166,25.76,postgresql,CONSISTENCY
6.13,384.47,38.36,78.0,29.14,0,18,53.36,31,10.32,postgresql,PERFORMANCE
20.95,346.15,44.43,113.5,64.5,2,12,63.02,36,13.84,postgresql,CONSISTENCY
18.93,485.24,44.54,104.64,10.65,1,19,58.69,33,7.39,postgresql,PERFORMANCE
46.84,1532.11,77.14,35.66,25.77,8,22,72.1,127,1.0,postgresql,CONSISTENCY
11.3,471.46,44.22,90.05,44.62,1,11,42.17,66,36.84,postgresql,PERFORMANCE
19.73,441.89,40.89,37.67,0.6,2,11,64.66,56,46.68,postgresql,PERFORMANCE
9.27,380.34,35.6,147.44,32.83,2,5,61.06,22,26.23,postgresql,PERFORMANCE
24.7,784.74,55.97,74.11,42.8,1,5,56.72,76,35.92,postgresql,CONSISTENCY
4.25,78.06,16.47,89.28,23.09,0,22,26.06,15,30.53,postgresql,ECONOMIC
130.62,560.32,74.85,17.74,54.77,8,10,76.27,123,10.09,postgresql,CONSISTENCY
18.58,358.35,44.19,110.98,9.94,2,4,63.24,79,48.25,postgresql,PERFORMANCE
21.93,489.61,57.79,124.64,63.96,0,8,43.49,60,37.53,postgresql,CONSISTENCY
129.47,732.6,73.08,72.09,30.16,12,4,88.66,151,21.96,postgresql,CONSISTENCY
41.32,1438.74,86.55,53.26,34.52,3,5,80.87,150,27.14,postgresql,CONSISTENCY
18.98,369.64,53.82,41.03,24.94,2,18,54.33,48,7.58,postgresql,CONSISTENCY
15.33,402.27,51.42,92.57,36.56,1,22,60.53,50,18.94,postgresql,CONSISTENCY
7.22,72.49,14.59,55.13,20.14,0,1,36.03,19,27.14,postgresql,ECONOMIC
73.89,202.76,56.82,42.12,8.06,4,10,63.83,52,6.96,postgresql,AVAILABILITY
166.63,866.06,74.13,16.21,5.51,11,7,88.03,171,18.72,postgresql,CONSISTENCY
102.46,862.78,71.27,80.23,69.59,17,13,78.73,166,46.04,postgresql,CONSISTENCY
32.33,1379.31,89.88,138.83,69.08,3,7,76.67,162,20.73,postgresql,CONSISTENCY
7.51,668.75,43.57,137.65,33.51,2,6,46.21,44,24.92,postgresql,CONSISTENCY
2.13,91.64,14.4,82.59,68.85,0,22,44.39,9,27.87,postgresql,ECONOMIC
65.0,1595.39,76.34,73.45,2.92,4,7,76.99,129,9.53,postgresql,CONSISTENCY
51.66,1294.04,89.28,53.48,8.24,2,7,78.02,137,38.27,postgresql,CONSISTENCY
160.84,586.65,66.77,8.93,52.71,10,22,94.58,111,35.8,postgresql,CONSISTENCY
18.26,398.06,45.17,121.77,57.67,0,22,44.46,52,27.84,postgresql,PERFORMANCE
3.97,178.35,26.6,35.14,6.84,0,23,25.12,16,0.65,postgresql,ECONOMIC
21.41,738.22,49.29,9.96,29.04,0,18,48.55,61,41.26,postgresql,CONSISTENCY
46.17,1409.41,86.04,147.88,45.26,5,19,89.49,123,5.71,postgresql,CONSISTENCY
2.69,113.78,10.45,147.74,66.79,0,22,35.84,7,6.97,postgresql,ECONOMIC
51.78,1683.18,91.45,109.43,39.8,2,12,75.48,116,20.26,postgresql,CONSISTENCY
26.34,368.44,57.0,63.64,67.05,0,20,56.63,26,28.66,postgresql,CONSISTENCY
3.4,383.14,52.14,109.26,28.45,1,13,41.71,30,14.43,postgresql,CONSISTENCY
77.25,1949.31,82.93,127.02,12.96,9,6,74.3,135,26.99,postgresql,CONSISTENCY
66.25,1596.84,81.68,68.05,55.07,2,16,77.03,100,24.77,postgresql,CONSISTENCY
29.06,338.88,30.07,142.78,10.95,2,6,47.86,78,45.87,postgresql,CONSISTENCY
65.5,1086.71,94.16,75.97,19.97,2,22,83.18,179,42.46,postgresql,CONSISTENCY
22.65,1051.6,88.4,22.48,25.03,2,14,73.61,184,23.66,postgresql,CONSISTENCY
28.38,762.2,59.13,10.37,66.31,1,6,41.37,54,15.96,postgresql,CONSISTENCY
21.19,360.28,32.31,119.65,43.16,2,23,50.11,58,15.76,postgresql,CONSISTENCY
33.98,1885.98,87.32,120.82,75.13,3,12,89.81,112,26.45,postgresql,CONSISTENCY
2.09,326.34,32.66,111.95,33.71,2,6,49.96,49,20.89,postgresql,PERFORMANCE
9.59,477.31,38.62,60.73,34.22,0,16,46.93,72,49.39,postgresql,PERFORMANCE
8.51,778.21,53.94,148.43,72.3,2,23,61.98,65,30.04,postgresql,CONSISTENCY
91.97,169.5,78.28,118.04,14.92,6,6,63.01,96,11.02,postgresql,CONSISTENCY
147.01,714.89,65.41,27.31,55.68,4,5,78.48,114,37.91,postgresql,CONSISTENCY
18.2,411.91,46.11,133.87,10.36,1,2,51.44,75,13.28,postgresql,PERFORMANCE
150.59,804.76,76.38,76.9,57.87,11,1,80.05,117,12.99,postgresql,CONSISTENCY
119.32,132.84,76.83,83.85,52.97,6,5,72.01,97,28.57,postgresql,CONSISTENCY
20.1,739.31,53.92,103.62,55.8,2,12,44.01,32,41.85,postgresql,CONSISTENCY
14.5,740.82,58.84,5.16,72.7,1,5,43.22,62,11.43,postgresql,CONSISTENCY
121.57,653.73,60.16,123.71,0.73,4,1,86.2,174,18.83,postgresql,CONSISTENCY
28.93,680.51,46.24,116.77,13.9,2,15,63.3,48,39.44,postgresql,CONSISTENCY
17.88,654.09,32.02,145.49,77.88,1,3,41.87,37,43.58,postgresql,CONSISTENCY
23.94,1594.4,82.67,28.05,0.08,8,3,79.77,150,12.63,postgresql,CONSISTENCY
53.09,227.85,63.54,99.9,54.44,6,1,67.46,71,4.12,postgresql,CONSISTENCY
115.49,145.32,62.97,64.35,78.72,4,2,84.11,58,13.71,postgresql,CONSISTENCY
19.9,406.55,30.93,130.95,14.84,2,5,51.79,46,48.41,postgresql,PERFORMANCE
1.52,526.85,45.91,74.82,63.72,0,20,62.8,77,30.83,postgresql,CONSISTENCY
53.5,1607.31,79.95,71.01,24.83,5,13,71.28,101,39.88,postgresql,CONSISTENCY
78.48,1680.46,82.91,110.02,72.63,4,7,83.9,132,47.63,postgresql,CONSISTENCY
5.13,421.02,59.6,52.34,0.78,1,18,45.26,52,27.98,postgresql,CONSISTENCY
69.47,1882.53,76.65,34.02,64.05,8,1,72.65,189,34.47,postgresql,CONSISTENCY
73.77,1951.55,77.48,142.37,74.82,2,22,71.04,131,14.94,postgresql,CONSISTENCY
26.95,707.41,32.4,68.6,13.12,1,19,59.6,22,2.04,postgresql,CONSISTENCY
26.28,423.55,34.79,100.51,63.18,2,17,51.75,64,9.11,postgresql,CONSISTENCY
10.64,310.43,49.6,65.67,17.64,2,18,56.26,29,20.16,postgresql,PERFORMANCE
22.09,531.31,56.05,83.78,40.39,0,14,48.65,63,38.39,postgresql,CONSISTENCY
49.2,1438.62,89.51,137.29,47.39,3,18,85.86,138,13.84,postgresql,CONSISTENCY
7.84,532.91,55.08,64.89,41.01,1,11,44.49,63,18.64,postgresql,CONSISTENCY
46.72,1247.23,92.41,62.86,24.97,2,5,83.25,169,32.61,postgresql,CONSISTENCY
27.85,1325.19,90.47,80.37,13.58,8,2,74.69,109,3.67,postgresql,CONSISTENCY
55.27,1145.76,83.99,56.73,48.44,2,9,73.34,183,18.97,postgresql,CONSISTENCY
55.12,1844.17,91.11,82.02,4.57,5,11,80.8,119,13.49,postgresql,CONSISTENCY
6.22,620.0,36.74,74.59,31.79,0,19,52.68,33,34.41,postgresql,CONSISTENCY
17.82,461.57,59.19,24.24,10.06,2,10,52.22,63,26.61,postgresql,CONSISTENCY
9.7,80.28,23.47,100.94,20.42,0,2,36.82,6,48.17,postgresql,ECONOMIC
157.96,741.62,72.43,103.09,55.16,11,22,90.37,170,46.55,postgresql,CONSISTENCY
153.49,813.42,76.67,149.03,69.32,5,18,94.99,149,15.91,postgresql,CONSISTENCY
8.79,135.05,24.77,120.68,60.98,0,0,28.18,6,40.39,postgresql,ECONOMIC
161.4,587.84,67.42,84.53,30.43,4,18,82.33,150,28.17,postgresql,CONSISTENCY
3.12,486.63,36.82,130.18,30.38,1,0,56.06,21,23.17,postgresql,PERFORMANCE
101.98,857.12,80.34,84.67,31.55,19,15,86.6,123,23.83,postgresql,CONSISTENCY
1.96,193.33,10.36,33.59,30.41,0,22,36.19,15,32.73,postgresql,ECONOMIC
8.45,350.71,44.58,93.5,24.9,2,12,63.24,47,26.96,postgresql,PERFORMANCE
16.15,788.36,54.7,87.26,8.55,1,17,59.99,50,35.45,postgresql,CONSISTENCY
179.73,612.26,62.18,133.21,65.54,16,9,87.66,92,30.08,postgresql,CONSISTENCY
3.61,146.99,13.5,111.13,24.16,0,23,39.25,17,12.78,postgresql,ECONOMIC
19.09,633.77,32.87,36.43,69.02,1,3,43.82,68,36.84,postgresql,CONSISTENCY
6.98,456.14,36.91,24.78,79.02,0,16,49.77,76,24.84,postgresql,PERFORMANCE
63.47,1442.72,83.92,136.3,26.98,9,20,72.57,118,30.16,postgresql,CONSISTENCY
6.56,342.83,56.83,14.8,41.52,2,12,48.59,58,3.47,postgresql,CONSISTENCY
18.19,620.08,38.13,100.97,79.53,0,4,51.42,41,33.47,postgresql,CONSISTENCY
86.44,233.91,60.01,64.37,13.64,6,16,64.38,70,37.74,postgresql,CONSISTENCY
7.95,102.14,23.3,116.45,58.97,0,5,25.87,19,1.0,postgresql,ECONOMIC
99.8,660.48,75.59,10.24,56.7,4,0,87.17,155,39.1,postgresql,CONSISTENCY
11.04,470.84,41.43,131.63,75.39,0,0,47.64,71,13.99,postgresql,PERFORMANCE
183.66,648.48,84.8,132.31,30.45,18,5,82.94,117,40.87,postgresql,CONSISTENCY
98.9,795.02,67.62,97.94,78.05,5,13,78.08,114,17.3,postgresql,CONSISTENCY
15.12,731.01,57.68,26.22,31.89,1,1,60.73,71,25.13,postgresql,CONSISTENCY
7.74,539.12,45.18,97.92,8.45,0,20,63.41,39,21.98,postgresql,CONSISTENCY
23.68,1650.2,78.04,48.12,49.56,3,10,74.24,110,37.71,postgresql,CONSISTENCY
9.79,371.12,33.64,37.02,18.61,0,22,52.74,58,11.44,postgresql,PERFORMANCE
67.53,1848.02,89.49,30.65,38.53,9,19,73.89,106,26.28,postgresql,CONSISTENCY
73.49,174.57,54.01,51.91,49.52,6,21,79.01,97,9.48,postgresql,CONSISTENCY
22.56,1198.86,76.29,26.64,21.28,2,17,80.96,162,24.97,postgresql,CONSISTENCY
179.18,521.74,76.29,19.81,10.65,16,3,84.19,100,47.81,postgresql,CONSISTENCY
8.39,644.07,43.13,100.61,50.98,1,23,46.33,59,23.07,postgresql,CONSISTENCY
51.1,1613.93,76.33,17.29,3.33,9,21,89.77,186,34.01,postgresql,CONSISTENCY
22.13,1802.13,77.11,100.9,61.97,9,10,77.07,199,17.49,postgresql,CONSISTENCY
23.17,349.2,49.81,116.54,23.64,1,18,42.07,67,48.39,postgresql,CONSISTENCY
18.84,402.84,33.64,120.81,77.48,0,8,64.0,74,2.1,postgresql,PERFORMANCE
75.22,1113.96,84.72,91.79,8.86,9,11,83.13,110,2.19,postgresql,CONSISTENCY
18.78,516.04,43.18,98.64,70.95,1,8,63.21,63,9.87,postgresql,CONSISTENCY
35.51,1316.92,92.59,85.88,59.86,6,2,85.1,120,48.92,postgresql,CONSISTENCY
79.08,1177.43,85.9,123.58,58.08,6,22,84.56,101,6.59,postgresql,CONSISTENCY
52.53,1840.7,89.66,88.69,7.5,9,14,82.24,118,7.58,postgresql,CONSISTENCY
8.15,530.78,30.28,34.59,64.01,0,4,46.95,54,20.07,postgresql,CONSISTENCY
6.88,172.27,22.3,125.74,67.2,0,3,33.47,4,42.4,postgresql,ECONOMIC
10.48,779.04,41.04,70.05,29.46,2,13,51.76,38,49.82,postgresql,CONSISTENCY
6.63,82.58,12.76,61.21,14.51,0,3,24.46,10,8.34,postgresql,ECONOMIC
23.89,1480.97,87.85,44.12,64.4,8,16,84.06,123,33.82,postgresql,CONSISTENCY
40.05,1077.06,76.17,26.38,35.22,7,18,74.2,199,25.86,postgresql,CONSISTENCY
0.63,85.38,17.43,118.92,50.89,0,22,39.16,13,21.06,postgresql,ECONOMIC
17.58,719.9,41.51,8.51,2.1,0,14,54.14,29,16.73,postgresql,CONSISTENCY
28.28,559.04,38.96,121.38,14.89,1,21,45.64,24,42.1,postgresql,CONSISTENCY
95.48,753.01,75.78,37.66,4.58,6,9,83.74,136,0.35,postgresql,CONSISTENCY
28.74,675.69,49.71,119.13,22.05,1,11,47.05,47,13.79,postgresql,CONSISTENCY
23.52,679.7,43.49,25.19,72.51,0,9,61.33,62,3.13,postgresql,CONSISTENCY
7.87,685.93,32.59,125.04,31.48,2,3,64.08,34,44.11,postgresql,CONSISTENCY
8.44,665.41,59.44,93.24,77.76,1,23,44.78,68,23.2,postgresql,CONSISTENCY
3.58,660.0,42.54,119.8,43.4,0,8,53.08,53,20.2,postgresql,CONSISTENCY
49.08,1081.73,84.17,64.71,36.98,3,16,83.28,156,33.45,postgresql,CONSISTENCY
68.38,1062.27,85.25,28.88,20.69,9,6,85.88,148,10.07,postgresql,CONSISTENCY
8.78,127.91,14.1,8.94,61.76,0,5,41.76,9,49.25,postgresql,ECONOMIC
49.87,1909.22,85.77,33.36,35.29,5,23,79.03,149,4.67,postgresql,CONSISTENCY
54.66,1287.14,90.86,27.9,42.64,8,11,82.85,114,45.75,postgresql,CONSISTENCY
41.79,1166.03,87.27,57.74,2.67,4,19,89.67,132,29.91,postgresql,CONSISTENCY
3.42,520.16,48.46,22.75,38.83,2,15,52.63,35,49.42,postgresql,CONSISTENCY
20.03,798.54,59.39,35.41,65.84,0,12,53.99,52,1.47,postgresql,CONSISTENCY
113.46,201.05,58.89,50.54,52.13,5,4,67.86,50,45.06,postgresql,CONSISTENCY
30.43,1828.25,81.7,55.45,11.36,9,23,71.74,132,11.99,postgresql,CONSISTENCY
17.74,606.89,43.07,103.05,10.1,2,14,61.09,46,31.71,postgresql,CONSISTENCY
5.85,301.91,50.45,130.63,27.23,0,1,60.93,42,3.85,postgresql,CONSISTENCY
9.81,406.32,31.0,101.42,63.08,1,14,62.59,36,38.3,postgresql,PERFORMANCE
30.14,1874.23,75.0,64.85,10.31,7,17,79.21,199,19.08,postgresql,CONSISTENCY
21.63,1018.0,83.43,106.4,66.08,7,13,87.17,182,48.64,postgresql,CONSISTENCY
90.26,286.4,66.78,14.91,9.62,4,19,81.82,53,10.92,postgresql,CONSISTENCY
9.74,306.2,44.06,135.92,3.85,2,16,45.66,33,37.16,postgresql,PERFORMANCE
198.79,565.2,68.51,149.34,46.62,19,7,79.79,127,1.73,postgresql,CONSISTENCY
33.21,1658.83,80.05,14.38,69.48,6,17,71.88,160,1.63,postgresql,CONSISTENCY
27.41,647.23,32.47,142.48,13.65,2,0,55.05,45,8.24,postgresql,CONSISTENCY
50.74,1702.63,79.75,92.09,76.04,7,5,85.74,166,32.61,postgresql,CONSISTENCY
111.32,180.69,62.21,145.87,22.15,6,22,71.81,66,7.0,postgresql,CONSISTENCY
36.84,1196.1,87.22,10.32,17.53,6,12,80.74,148,0.38,postgresql,CONSISTENCY
15.87,701.29,47.16,21.51,49.37,1,0,46.95,43,4.35,postgresql,CONSISTENCY
164.3,687.39,60.74,110.83,31.19,14,18,77.63,125,8.26,postgresql,CONSISTENCY
124.03,757.02,75.2,12.41,50.91,10,7,94.08,148,0.08,postgresql,CONSISTENCY
118.24,420.28,81.79,84.69,47.71,4,12,84.12,161,4.61,postgresql,CONSISTENCY
28.31,340.09,40.64,97.23,0.81,0,16,56.16,70,29.68,postgresql,CONSISTENCY
19.5,377.16,35.16,105.76,65.6,0,21,41.66,35,49.56,postgresql,PERFORMANCE
2.27,543.0,47.32,127.61,52.18,0,11,45.4,44,36.46,postgresql,CONSISTENCY
149.68,601.95,61.94,88.99,36.01,17,21,83.93,177,19.21,postgresql,CONSISTENCY
11.76,459.43,47.47,25.68,34.44,0,8,53.15,53,8.34,postgresql,PERFORMANCE
5.17,192.0,16.8,19.68,47.68,0,4,20.17,15,39.59,postgresql,ECONOMIC
53.58,1841.72,86.6,82.13,78.2,2,4,72.81,168,11.42,postgresql,CONSISTENCY
12.25,319.5,30.93,126.14,10.4,1,12,47.83,34,24.39,postgresql,PERFORMANCE
88.24,194.19,76.65,60.9,31.16,2,4,62.21,98,48.06,postgresql,CONSISTENCY
5.32,197.02,19.56,33.22,20.75,0,0,26.17,19,15.12,postgresql,ECONOMIC
69.84,1677.39,79.7,123.43,12.04,2,16,81.61,123,49.99,postgresql,CONSISTENCY
19.08,796.92,56.41,73.95,3.16,1,3,51.54,58,19.76,postgresql,CONSISTENCY
155.9,466.19,74.83,13.37,43.95,18,3,92.4,100,37.29,postgresql,CONSISTENCY
5.32,738.55,58.32,86.59,41.8,1,23,54.72,77,24.57,postgresql,CONSISTENCY
17.74,555.64,44.77,88.16,61.16,1,22,51.4,47,41.38,postgresql,CONSISTENCY
20.19,1996.12,76.19,9.46,20.48,2,12,87.86,118,15.59,postgresql,CONSISTENCY
48.61,1926.38,75.38,57.01,23.95,4,14,87.44,109,6.72,postgresql,CONSISTENCY
24.01,666.53,45.86,11.4,0.19,1,1,56.92,68,4.49,postgresql,CONSISTENCY
172.88,770.24,63.57,17.85,49.09,19,3,91.18,80,42.3,postgresql,CONSISTENCY
0.24,92.05,23.75,5.88,55.82,0,1,33.73,14,28.85,postgresql,ECONOMIC
50.04,1299.57,76.54,47.82,32.23,9,18,79.57,165,3.65,postgresql,CONSISTENCY
12.75,701.74,57.88,146.95,51.24,0,1,54.58,58,11.3,postgresql,CONSISTENCY
6.45,508.06,52.79,103.98,5.74,1,20,51.35,55,31.24,postgresql,CONSISTENCY
37.4,1234.65,81.06,28.0,32.12,5,13,72.86,186,36.03,postgresql,CONSISTENCY
22.71,614.78,31.63,107.51,22.09,2,1,44.73,48,2.34,postgresql,CONSISTENCY
76.43,1466.97,81.81,130.65,45.2,5,22,72.04,164,6.5,postgresql,CONSISTENCY
9.1,183.78,18.68,61.21,39.51,0,22,44.1,5,34.35,postgresql,ECONOMIC
72.53,1139.12,80.08,44.0,75.52,9,23,85.22,116,33.81,postgresql,CONSISTENCY
3.6,146.62,10.96,58.46,16.71,0,0,32.51,9,22.88,postgresql,ECONOMIC
17.01,729.48,35.58,98.92,58.44,1,11,45.3,28,43.49,postgresql,CONSISTENCY
28.2,1607.75,80.91,108.41,31.61,3,3,84.74,169,32.24,postgresql,CONSISTENCY
60.01,1085.34,75.86,40.07,55.04,7,21,80.32,143,4.99,postgresql,CONSISTENCY
13.0,309.66,33.73,72.29,0.79,2,5,48.26,31,29.76,postgresql,PERFORMANCE
14.19,498.82,52.87,16.08,46.03,0,3,53.03,77,42.86,postgresql,CONSISTENCY
91.93,460.1,66.64,5.2,29.74,4,14,89.78,86,17.4,postgresql,CONSISTENCY
60.53,1548.38,92.59,27.09,16.57,9,10,85.66,188,14.56,postgresql,CONSISTENCY
15.04,414.12,37.4,118.85,75.42,2,7,56.79,23,47.89,postgresql,PERFORMANCE
41.94,1962.77,76.51,88.85,62.51,5,19,82.39,156,31.12,postgresql,CONSISTENCY
53.11,258.18,77.19,83.13,58.0,2,10,68.63,91,16.87,postgresql,CONSISTENCY
49.84,1690.1,93.61,56.37,60.89,9,8,72.69,149,15.1,postgresql,CONSISTENCY
100.87,286.27,77.86,35.33,35.64,7,20,70.82,42,8.29,postgresql,CONSISTENCY
51.63,1137.0,94.9,63.97,39.86,5,10,89.21,115,31.83,postgresql,CONSISTENCY
3.12,518.5,47.81,141.84,72.63,1,11,40.35,63,39.63,postgresql,CONSISTENCY
12.39,776.45,59.01,118.3,36.66,1,10,57.96,66,11.6,postgresql,CONSISTENCY
20.73,1771.63,84.98,37.2,50.75,6,19,77.54,127,11.43,postgresql,CONSISTENCY
137.16,764.43,62.38,62.69,23.11,6,7,92.89,124,5.93,postgresql,CONSISTENCY
69.74,113.47,72.83,61.02,79.4,6,1,60.82,117,31.1,postgresql,CONSISTENCY
6.56,628.32,37.21,143.67,18.3,2,20,52.65,30,37.59,postgresql,CONSISTENCY
153.98,541.24,83.76,56.19,22.6,6,21,83.55,155,37.94,postgresql,CONSISTENCY
173.94,822.92,70.02,91.1,23.66,7,14,84.95,172,12.77,postgresql,CONSISTENCY
28.28,335.58,32.07,105.57,26.58,2,13,42.38,46,41.79,postgresql,CONSISTENCY
14.44,712.39,45.47,5.0,61.24,2,23,63.28,50,6.39,postgresql,CONSISTENCY
6.9,661.56,36.02,37.52,77.35,2,21,62.07,41,36.47,postgresql,CONSISTENCY
3.03,177.26,18.45,149.93,26.96,0,3,37.82,19,6.27,postgresql,ECONOMIC
87.25,326.27,61.8,118.19,13.39,4,3,70.36,81,35.47,postgresql,CONSISTENCY
11.49,614.22,44.46,107.73,62.46,2,8,57.86,40,28.0,postgresql,CONSISTENCY
21.22,766.46,54.83,129.95,58.32,2,18,60.09,66,34.73,postgresql,CONSISTENCY
7.19,325.95,34.27,142.33,44.97,0,16,61.41,68,36.35,postgresql,PERFORMANCE
12.23,541.25,45.2,94.31,63.8,0,0,40.63,71,6.22,postgresql,CONSISTENCY
24.7,417.49,51.15,130.08,57.48,0,1,53.52,72,25.24,postgresql,CONSISTENCY
58.14,314.32,78.57,123.38,25.32,2,12,63.93,107,31.25,postgresql,CONSISTENCY
25.67,456.43,58.06,7.87,14.95,2,4,40.3,35,8.14,postgresql,CONSISTENCY
10.69,476.48,48.64,67.75,22.86,1,20,55.14,75,39.19,postgresql,PERFORMANCE
42.89,1072.11,79.11,118.86,62.48,5,18,83.43,178,5.81,postgresql,CONSISTENCY
113.18,197.58,78.24,146.95,43.82,7,23,72.97,56,5.16,postgresql,CONSISTENCY
3.47,155.68,18.45,46.68,21.48,0,23,26.61,10,24.15,postgresql,ECONOMIC
30.33,1143.94,86.91,18.35,36.64,5,9,75.95,153,34.79,postgresql,CONSISTENCY
8.28,307.56,58.95,91.66,21.69,0,1,56.8,25,15.65,postgresql,CONSISTENCY
193.92,452.95,63.87,12.32,29.88,19,3,75.13,101,31.26,postgresql,CONSISTENCY
14.06,591.46,37.59,101.42,17.17,0,0,61.0,61,36.97,postgresql,CONSISTENCY
22.7,516.79,32.78,149.46,35.07,2,9,46.47,48,25.64,postgresql,CONSISTENCY
32.24,1670.68,89.02,56.62,2.36,6,16,87.55,195,45.58,postgresql,CONSISTENCY
