replication_lag_mb,transactions_per_sec,cpu_percent,latency_ms,trans_rolled_back,deadlocks,hour_of_day,memory_usage_pct,connections_active,wal_buffers_full,system,mode
105.69,497.53,84.01,70.97,16.07,9,6,88.88,96,15.38,mysql,CONSISTENCY
58.75,1777.33,86.13,30.53,40.73,9,21,80.89,125,2.28,mysql,CONSISTENCY
6.55,85.13,15.39,79.63,51.34,0,3,24.86,8,4.62,mysql,ECONOMIC
100.94,737.09,75.83,90.38,24.17,12,15,80.26,167,15.82,mysql,CONSISTENCY
70.48,1501.84,90.56,55.55,1.45,3,8,76.51,132,26.85,mysql,CONSISTENCY
52.19,1024.7,91.21,41.24,41.16,4,6,86.25,180,26.85,mysql,CONSISTENCY
50.27,1150.54,84.38,17.98,4.27,4,17,83.39,157,9.98,mysql,CONSISTENCY
15.07,427.07,54.75,69.36,36.98,2,3,44.55,63,3.49,mysql,CONSISTENCY
11.66,507.89,44.08,71.71,17.17,2,3,41.38,61,19.97,mysql,CONSISTENCY
16.09,708.78,55.29,24.46,4.51,0,20,46.99,48,19.18,mysql,CONSISTENCY
8.42,653.97,46.72,92.58,16.07,2,0,44.88,45,13.11,mysql,CONSISTENCY
28.86,445.36,59.51,135.71,2.41,1,8,51.99,33,18.33,mysql,CONSISTENCY
18.81,718.31,49.52,62.75,30.76,0,0,48.4,50,26.12,mysql,CONSISTENCY
90.88,470.08,73.6,41.2,42.99,7,12,77.76,107,2.43,mysql,CONSISTENCY
24.42,780.71,47.98,16.36,51.67,1,1,57.33,42,17.08,mysql,CONSISTENCY
44.29,1867.08,94.05,103.81,13.51,6,6,72.5,168,23.77,mysql,CONSISTENCY
25.27,603.34,57.91,46.36,49.23,2,6,64.04,45,18.28,mysql,CONSISTENCY
7.21,167.59,16.49,44.74,43.4,0,3,43.98,18,23.68,mysql,ECONOMIC
27.16,1259.45,76.69,55.89,47.34,4,8,79.12,163,21.04,mysql,CONSISTENCY
174.9,546.21,81.87,141.56,14.31,12,9,78.34,149,13.77,mysql,CONSISTENCY
6.62,191.85,18.18,81.64,30.47,0,22,35.76,13,5.66,mysql,ECONOMIC
9.49,615.43,40.49,18.64,43.99,2,23,63.0,51,8.24,mysql,CONSISTENCY
20.5,1148.1,89.93,102.41,42.33,4,19,88.65,142,27.5,mysql,CONSISTENCY
4.89,151.4,24.11,11.94,56.64,0,22,25.55,1,13.33,mysql,ECONOMIC
113.03,458.78,84.76,89.13,10.6,12,15,89.7,134,20.04,mysql,CONSISTENCY
174.87,820.32,81.19,62.59,54.11,12,0,79.22,132,5.37,mysql,CONSISTENCY
29.17,460.27,52.33,99.34,30.81,0,15,42.31,22,20.72,mysql,CONSISTENCY
17.73,503.05,33.38,52.36,2.63,1,11,62.16,24,20.02,mysql,CONSISTENCY
29.26,578.5,56.82,34.02,30.87,2,12,46.57,41,20.67,mysql,CONSISTENCY
73.43,1779.01,75.4,109.59,6.61,9,8,85.05,180,5.7,mysql,CONSISTENCY
66.67,1038.36,87.43,131.29,41.57,2,8,83.42,118,19.28,mysql,CONSISTENCY
9.74,76.19,16.45,43.7,17.5,0,4,32.82,10,15.68,mysql,ECONOMIC
143.07,664.94,75.37,126.49,18.37,10,7,80.45,122,9.35,mysql,CONSISTENCY
5.82,71.23,27.65,108.13,15.88,0,23,31.55,13,26.93,mysql,ECONOMIC
0.49,146.71,17.11,9.85,50.45,0,3,33.85,4,16.12,mysql,ECONOMIC
2.61,439.73,47.46,64.07,3.28,1,13,63.06,64,19.19,mysql,PERFORMANCE
5.05,674.12,57.09,25.46,31.65,2,0,57.69,70,16.27,mysql,CONSISTENCY
17.35,470.78,56.24,24.35,40.45,2,7,56.63,33,4.88,mysql,CONSISTENCY
43.71,213.22,63.34,66.68,7.69,3,23,76.56,115,20.64,mysql,AVAILABILITY
56.16,1669.68,94.23,130.67,56.17,9,0,82.28,171,17.32,mysql,CONSISTENCY
26.18,1282.54,82.56,53.46,19.47,7,6,79.4,121,7.47,mysql,CONSISTENCY
4.37,144.58,24.99,47.58,17.21,0,22,35.81,4,19.15,mysql,ECONOMIC
17.86,762.11,30.73,26.3,12.2,0,22,50.72,22,28.02,mysql,CONSISTENCY
2.1,416.79,37.9,109.32,6.42,0,5,56.76,66,3.46,mysql,PERFORMANCE
2.64,310.45,36.69,141.38,15.21,0,17,51.49,50,15.48,mysql,PERFORMANCE
44.71,1354.42,82.62,86.3,20.16,6,10,87.09,175,28.32,mysql,CONSISTENCY
26.42,506.73,36.19,131.02,22.98,0,15,45.19,41,20.76,mysql,CONSISTENCY
24.8,333.62,43.94,48.97,0.82,2,2,61.66,37,3.55,mysql,CONSISTENCY
4.92,718.28,45.37,47.03,24.56,2,8,45.78,60,26.46,mysql,CONSISTENCY
29.22,613.63,39.49,9.64,50.35,1,9,64.61,28,0.25,mysql,CONSISTENCY
1.45,605.43,56.14,18.6,44.8,1,8,56.18,71,12.48,mysql,CONSISTENCY
113.11,452.33,80.57,121.24,30.21,18,23,84.64,141,4.51,mysql,CONSISTENCY
9.83,122.45,27.93,115.05,46.9,0,23,30.39,3,9.74,mysql,ECONOMIC
24.52,454.78,38.77,5.34,2.96,2,11,56.73,30,16.12,mysql,CONSISTENCY
44.66,1121.26,77.28,96.85,18.85,5,8,89.44,119,9.48,mysql,CONSISTENCY
180.4,786.26,64.22,78.91,7.31,16,17,94.55,158,7.88,mysql,CONSISTENCY
161.26,424.16,74.08,140.13,43.73,4,5,82.63,124,18.75,mysql,CONSISTENCY
44.57,118.98,68.09,132.44,2.32,3,1,82.0,110,4.51,mysql,CONSISTENCY
1.9,534.23,47.95,97.37,58.96,1,23,55.1,38,26.85,mysql,CONSISTENCY
191.39,658.12,63.84,104.8,12.66,13,2,80.41,133,6.01,mysql,CONSISTENCY
25.33,541.41,39.69,50.65,16.44,0,7,43.42,49,6.85,mysql,CONSISTENCY
63.39,288.22,57.79,87.43,55.35,2,8,78.01,50,2.87,mysql,CONSISTENCY
20.55,710.54,32.77,63.22,31.33,1,23,51.2,32,11.96,mysql,CONSISTENCY
73.65,1617.73,84.13,63.88,13.81,4,7,76.73,173,12.32,mysql,CONSISTENCY
2.72,688.28,54.65,117.69,51.06,2,4,46.14,48,26.23,mysql,CONSISTENCY
197.77,573.23,84.33,9.52,42.45,5,23,92.76,112,3.02,mysql,CONSISTENCY
7.06,115.86,12.26,74.69,14.07,0,0,36.31,1,10.09,mysql,ECONOMIC
30.19,1257.12,93.97,87.75,26.95,2,6,70.2,106,10.0,mysql,CONSISTENCY
10.61,657.72,32.08,142.96,55.86,1,1,55.24,34,15.99,mysql,CONSISTENCY
4.48,160.82,27.86,59.03,14.38,0,23,30.39,6,6.89,mysql,ECONOMIC
74.32,1976.08,85.65,148.3,48.97,6,19,84.96,162,17.54,mysql,CONSISTENCY
28.91,777.2,57.32,146.19,18.31,1,13,55.67,69,14.99,mysql,CONSISTENCY
38.77,1331.02,89.81,147.82,40.75,7,16,80.6,117,29.68,mysql,CONSISTENCY
28.07,300.12,33.81,59.17,58.25,2,3,53.0,31,18.26,mysql,CONSISTENCY
16.63,498.12,58.91,107.76,33.07,1,21,50.39,70,1.09,mysql,CONSISTENCY
8.32,760.53,39.63,31.28,47.7,0,5,44.92,78,28.29,mysql,CONSISTENCY
152.93,463.1,76.95,7.83,5.48,12,9,83.41,120,28.13,mysql,CONSISTENCY
19.88,793.35,48.58,33.71,58.94,2,18,47.46,79,27.29,mysql,CONSISTENCY
5.44,347.38,30.2,140.74,14.46,0,10,48.51,31,4.48,mysql,PERFORMANCE
4.49,367.59,50.86,87.22,41.34,1,9,47.92,43,17.47,mysql,CONSISTENCY
12.78,765.45,33.33,30.23,9.46,0,5,43.18,44,9.16,mysql,CONSISTENCY
130.37,849.06,78.29,121.62,55.72,6,23,81.27,91,21.8,mysql,CONSISTENCY
16.99,748.9,40.5,70.52,12.18,2,1,59.04,78,15.75,mysql,CONSISTENCY
1.53,168.91,22.58,57.19,41.06,0,2,36.93,2,13.6,mysql,ECONOMIC
75.29,1913.21,90.96,41.51,51.59,3,4,74.08,135,12.39,mysql,CONSISTENCY
15.43,463.83,36.31,93.67,21.91,2,7,60.42,29,19.71,mysql,PERFORMANCE
4.88,707.74,44.84,31.0,36.53,1,6,52.74,50,4.23,mysql,CONSISTENCY
87.02,362.07,59.88,145.57,30.62,5,23,82.58,81,2.24,mysql,CONSISTENCY
8.36,63.99,20.42,42.56,47.3,0,23,43.9,2,24.86,mysql,ECONOMIC
6.18,320.17,36.03,9.23,16.24,2,21,59.84,42,14.3,mysql,PERFORMANCE
98.65,864.93,69.54,68.98,12.36,18,17,84.9,168,20.89,mysql,CONSISTENCY
185.07,462.97,82.58,118.94,25.91,17,20,78.54,148,24.09,mysql,CONSISTENCY
176.36,643.19,71.57,114.18,58.08,15,3,77.5,159,14.03,mysql,CONSISTENCY
4.36,180.8,11.96,55.46,50.0,0,5,40.85,10,22.88,mysql,ECONOMIC
68.76,1051.69,78.17,69.86,45.82,5,8,70.21,136,15.51,mysql,CONSISTENCY
46.22,1113.1,78.13,77.53,16.64,8,16,80.76,129,8.81,mysql,CONSISTENCY
20.22,557.46,35.12,91.28,19.99,1,6,54.06,41,29.27,mysql,CONSISTENCY
99.7,330.01,79.09,143.74,51.5,4,18,74.44,79,13.5,mysql,AVAILABILITY
11.33,724.99,55.39,80.88,0.1,1,20,40.09,72,1.99,mysql,CONSISTENCY
50.68,205.08,63.57,73.61,22.7,5,3,67.95,119,22.38,mysql,AVAILABILITY
21.24,691.66,38.05,130.05,3.84,0,14,40.76,73,17.63,mysql,CONSISTENCY
22.1,395.92,40.01,42.71,32.58,2,23,46.75,72,1.59,mysql,CONSISTENCY
27.05,1565.07,92.17,142.02,26.49,8,11,87.93,148,20.84,mysql,CONSISTENCY
2.04,79.67,26.87,143.23,38.32,0,22,37.14,8,15.98,mysql,ECONOMIC
1.44,560.09,38.85,107.21,52.4,1,20,41.39,39,5.13,mysql,CONSISTENCY
20.18,1653.66,94.12,18.27,45.95,2,21,78.39,135,21.62,mysql,CONSISTENCY
24.18,767.13,32.59,66.85,19.99,0,4,63.46,46,8.63,mysql,CONSISTENCY
9.97,458.05,42.73,91.45,0.02,1,0,56.63,78,22.0,mysql,PERFORMANCE
76.17,376.88,76.52,56.69,15.81,6,21,63.71,96,14.5,mysql,CONSISTENCY
45.58,1424.39,78.14,97.1,40.8,9,12,83.95,190,23.44,mysql,CONSISTENCY
17.73,495.01,42.2,89.95,52.69,0,6,47.13,72,14.12,mysql,PERFORMANCE
10.72,729.67,47.84,144.15,58.16,2,4,49.34,31,3.47,mysql,CONSISTENCY
60.77,1413.19,83.11,135.13,10.23,8,10,75.76,186,24.85,mysql,CONSISTENCY
24.75,1792.04,80.85,46.6,23.27,6,20,78.96,191,11.8,mysql,CONSISTENCY
10.54,799.66,38.04,20.36,18.76,0,1,41.54,45,4.76,mysql,CONSISTENCY
177.73,468.95,79.4,100.04,36.08,6,16,91.95,82,22.1,mysql,CONSISTENCY
51.23,1529.64,81.96,70.47,9.28,3,12,79.94,125,25.84,mysql,CONSISTENCY
72.65,1249.87,87.81,142.81,13.98,6,21,78.47,101,3.18,mysql,CONSISTENCY
1.02,126.72,22.88,120.97,50.05,0,0,34.56,3,19.09,mysql,ECONOMIC
26.94,533.62,37.2,78.21,56.82,0,6,47.23,62,16.67,mysql,CONSISTENCY
36.53,1827.16,83.5,64.12,35.32,2,10,79.93,136,27.82,mysql,CONSISTENCY
17.93,506.38,36.83,132.66,9.35,0,20,51.97,71,6.11,mysql,CONSISTENCY
114.49,102.46,76.96,14.22,1.53,4,2,77.68,54,19.61,mysql,CONSISTENCY
30.22,1545.9,75.69,149.84,54.26,4,9,84.2,127,11.97,mysql,CONSISTENCY
17.98,603.11,40.11,100.45,25.68,1,10,47.74,58,5.64,mysql,CONSISTENCY
11.91,446.58,30.18,39.4,19.38,2,11,51.49,60,24.85,mysql,PERFORMANCE
6.74,185.9,27.27,112.69,49.98,0,1,35.94,12,21.52,mysql,ECONOMIC
187.17,662.72,77.29,130.53,23.31,4,18,88.65,81,6.6,mysql,CONSISTENCY
59.44,1665.72,79.27,147.4,23.15,4,11,84.87,171,13.63,mysql,CONSISTENCY
18.38,344.91,47.72,115.3,37.05,1,1,45.83,70,0.92,mysql,PERFORMANCE
6.7,350.51,48.29,52.5,13.83,1,4,60.8,73,25.64,mysql,PERFORMANCE
51.39,1019.61,88.43,62.79,7.63,3,21,81.81,120,23.76,mysql,CONSISTENCY
94.08,823.22,72.26,116.88,16.71,9,16,77.53,169,3.33,mysql,CONSISTENCY
137.94,559.76,64.09,54.52,6.82,10,9,84.92,114,5.55,mysql,CONSISTENCY
13.68,370.33,51.5,115.72,28.6,1,15,52.51,37,3.8,mysql,CONSISTENCY
22.83,373.45,46.56,92.77,40.0,1,7,59.2,59,4.66,mysql,CONSISTENCY
168.02,573.13,76.37,48.72,37.64,7,6,81.28,146,7.1,mysql,CONSISTENCY
19.86,739.27,39.06,109.46,24.64,1,23,61.05,72,10.29,mysql,CONSISTENCY
154.26,420.94,72.58,132.06,14.52,4,17,82.05,92,25.61,mysql,CONSISTENCY
4.39,189.97,23.14,68.91,55.22,0,4,43.0,13,4.33,mysql,ECONOMIC
19.04,332.25,47.23,105.81,0.77,1,7,60.89,65,18.47,mysql,PERFORMANCE
75.03,1649.08,82.0,120.05,9.23,8,7,71.97,174,16.81,mysql,CONSISTENCY
13.84,407.15,47.55,106.23,43.49,1,14,53.66,63,20.69,mysql,PERFORMANCE
6.06,392.36,41.86,81.45,56.53,2,14,54.96,60,1.56,mysql,PERFORMANCE
22.91,756.29,53.42,148.03,33.22,2,11,61.8,48,18.86,mysql,CONSISTENCY
1.57,313.92,54.15,21.02,44.1,0,1,52.85,51,18.12,mysql,CONSISTENCY
20.36,1502.27,89.43,110.43,25.25,2,4,72.47,159,3.25,mysql,CONSISTENCY
25.28,1609.45,87.87,50.59,6.87,9,5,77.33,178,28.93,mysql,CONSISTENCY
27.99,731.97,53.45,117.15,45.71,0,22,46.86,48,5.1,mysql,CONSISTENCY
10.89,580.99,36.43,117.4,57.25,2,3,52.99,28,19.64,mysql,CONSISTENCY
24.01,1736.28,86.43,85.38,25.78,6,16,82.15,153,2.39,mysql,CONSISTENCY
35.74,1687.37,82.45,106.78,22.41,9,3,82.75,110,18.36,mysql,CONSISTENCY
117.74,808.99,74.69,28.98,30.9,16,18,86.17,107,8.88,mysql,CONSISTENCY
2.2,581.41,31.42,63.33,31.93,0,16,50.9,53,16.78,mysql,CONSISTENCY
42.02,1579.54,80.73,91.8,37.01,2,8,88.29,126,23.11,mysql,CONSISTENCY
49.1,1272.56,92.43,149.56,6.87,3,2,87.45,197,16.93,mysql,CONSISTENCY
25.16,655.1,40.92,35.7,44.14,0,6,49.79,73,25.38,mysql,CONSISTENCY
20.25,512.42,42.51,49.62,55.65,0,7,54.28,55,29.75,mysql,CONSISTENCY
28.57,457.5,47.27,128.64,55.35,1,10,57.78,65,6.04,mysql,CONSISTENCY
50.3,1464.33,80.07,79.99,25.37,2,15,87.15,180,22.55,mysql,CONSISTENCY
7.23,167.63,25.27,111.38,26.47,0,23,28.45,13,22.43,mysql,ECONOMIC
131.68,801.23,61.03,70.41,7.19,8,12,84.76,103,26.21,mysql,CONSISTENCY
29.49,1771.57,85.45,67.76,47.98,8,22,72.71,101,27.92,mysql,CONSISTENCY
7.93,652.18,54.08,130.01,56.27,2,12,51.89,63,29.58,mysql,CONSISTENCY
28.87,514.06,56.41,41.25,56.35,2,1,50.39,78,20.68,mysql,CONSISTENCY
7.77,128.12,15.37,63.71,37.04,0,5,36.52,18,14.44,mysql,ECONOMIC
72.88,253.44,72.02,77.09,32.61,2,9,61.57,41,16.33,mysql,CONSISTENCY
162.17,720.43,67.76,140.33,6.49,12,9,88.19,116,16.71,mysql,CONSISTENCY
